No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
21,21120021,Nguyen,Cuong,Male,25/03/2003,456789012,2021
22,21120022,Tran,An,Female,30/04/2002,654321098,2021
23,21120023,Dang,Thanh,Male,10/05/2003,321548765,2021
24,21120024,Nguyen,Bao,Male,15/01/2002,123456789,2021
25,21120025,Tran,Thanh,Female,20/02/2003,987654321,2021
26,21120026,Pham,Duy,Female,30/04/2002,654321098,2021
27,21120027,Nguyen,Anh,Male,15/01/2003,123456789,2021
28,21120028,Tran,Binh,Female,20/02/2002,987654321,2021
29,21120029,Le,Cuong,Male,25/03/2003,456789012,2021
30,21120030,Pham,Quang,Male,30/04/2002,654321098,2021
31,21120031,Hoang,Thanh,Male,10/05/2003,321548765,2021
32,21120032,Vu,Ngoc,Female,12/06/2002,213659874,2021
33,21120033,Vo,Hoa,Male,22/07/2002,546321987,2021
34,21120034,Do,Lan,Female,02/08/2002,874236578,2021
35,21120035,Phan,Minh,Male,15/09/2002,998543123,2021
36,21120036,Duong,Phuong,Female,25/10/2002,113246578,2021
37,21120037,Bui,Quyen,Male,11/11/2003,657239845,2021
38,21120038,Doan,Tam,Female,19/12/2002,876452134,2021
39,21120039,Luu,Vy,Male,05/01/2003,762983452,2021
40,21120040,Dang,Thi,Female,16/02/2002,839264175,2021
41,21120041,Nguyen,Cuong,Male,25/03/2003,456789012,2021
42,21120042,Tran,An,Female,30/04/2002,654321098,2021
43,21120043,Dang,Thanh,Male,10/05/2003,321548765,2021
44,21120044,Nguyen,Bao,Male,15/01/2002,123456789,2021
45,21120045,Tran,Thanh,Female,20/02/2003,987654321,2021
