No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
46,20120046,Tran,Duc,Male,22/07/2001,546321987,2020
47,20120047,Pham,Anh,Female,12/06/2002,213659874,2020
48,20120048,Vo,Tuan,Male,25/03/2001,456789012,2020
49,20120049,Le,Minh,Male,30/04/2001,654321098,2020
50,20120050,Dang,Hoa,Female,10/05/2002,321548765,2020
51,20120051,Nguyen,Bao,Male,15/01/2001,123456789,2020
52,20120052,Tran,Thanh,Female,20/02/2002,987654321,2020
53,20120053,Pham,Quyen,Male,25/03/2001,456789012,2020
54,20120054,Vo,An,Female,30/04/2001,654321098,2020
55,20120055,Nguyen,Tuan,Male,10/05/2002,321548765,2020
56,20120056,Tran,Minh,Male,12/06/2001,213659874,2020
57,20120057,Pham,Hoang,Female,22/07/2001,546321987,2020
58,20120058,Le,Duc,Male,02/08/2002,874236578,2020
59,20120059,Nguyen,Quang,Male,15/09/2001,998543123,2020
60,20120060,Tran,Hanh,Female,25/10/2002,113246578,2020
61,20120061,Pham,Tam,Female,11/11/2001,657239845,2020
62,20120062,Dang,Hien,Female,19/12/2002,876452134,2020
63,20120063,Luu,Minh,Male,05/01/2001,762983452,2020
64,20120064,Tran,Anh,Female,16/02/2002,839264175,2020
65,20120065,Le,Hoang,Male,20/03/2001,624518937,2020
66,20120066,Pham,Dung,Female,18/04/2002,185793624,2020
67,20120067,Vo,Nhan,Male,29/05/2001,937468215,2020
68,20120068,Nguyen,Thi,Female,07/06/2002,362514879,2020
69,20120069,Tran,Tuan,Female,09/07/2001,945871236,2020
70,20120070,Pham,Hanh,Male,14/08/2002,512487693,2020
