No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
96,22120096,Nguyen,Cuong,Male,25/03/2004,456789012,2022
97,22120097,Tran,An,Female,30/04/2003,654321098,2022
98,22120098,Dang,Thanh,Male,10/05/2004,321548765,2022
99,22120099,Nguyen,Bao,Male,15/01/2003,123456789,2022
100,22120100,Tran,Thanh,Female,20/02/2004,987654321,2022
101,22120101,Pham,Duy,Female,30/04/2003,654321098,2022
102,22120102,Nguyen,Anh,Male,15/01/2004,123456789,2022
103,22120103,Tran,Binh,Female,20/02/2003,987654321,2022
104,22120104,Le,Cuong,Male,25/03/2004,456789012,2022
105,22120105,Pham,Quang,Male,30/04/2003,654321098,2022
106,22120106,Hoang,Thanh,Male,10/05/2004,321548765,2022
107,22120107,Vu,Ngoc,Female,12/06/2003,213659874,2022
108,22120108,Vo,Hoa,Male,22/07/2003,546321987,2022
109,22120109,Do,Lan,Female,02/08/2003,874236578,2022
110,22120110,Phan,Minh,Male,15/09/2004,998543123,2022
111,22120111,Duong,Phuong,Female,25/10/2003,113246578,2022
112,22120112,Bui,Quyen,Male,11/11/2004,657239845,2022
113,22120113,Doan,Tam,Female,19/12/2003,876452134,2022
114,22120114,Luu,Vy,Male,05/01/2004,762983452,2022
115,22120115,Dang,Thi,Female,16/02/2003,839264175,2022
116,22120116,Nguyen,Cuong,Male,25/03/2004,456789012,2022
117,22120117,Tran,An,Female,30/04/2003,654321098,2022
118,22120118,Dang,Thanh,Male,10/05/2004,321548765,2022
119,22120119,Nguyen,Bao,Male,15/01/2003,123456789,2022
120,22120120,Tran,Thanh,Female,20/02/2004,987654321,2022
