No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20120418,Nguyen Tien,Dat,Female,26/3/2002,4231472352019
2,20120420,Ho Xuan,Quang,Female,6/7/2002,3841488972019
3,20120421,Le Ngoc,Tuan,Male,31/10/2002,4103847512019
4,20120422,Nguyen Thi Anh,Tuyet,Male,22/4/2002,4085902232019
5,20120423,Ngo Trong,Tin,Female,25/2/2002,4685391442019
6,20120424,Duong Khanh,An,Female,4/11/2002,3893055782019
7,20120425,Pham Trong,An,Male,14/7/2002,3852229922019
8,20120426,Dao Duy,Anh,Female,1/4/2002,4597366962019
9,20120427,Le Nhut,Anh,Female,24/4/2002,4227998812019
10,20120428,Nguyen Lam Que,Anh,Female,18/8/2002,4236681152019
11,20120429,Nguyen Quoc,Anh,Male,11/5/2002,4313132282019
12,20120430,Dang Duc,Ba,Male,24/7/2002,4483988212019
13,20120431,To Tran Son,Ba,Female,4/1/2002,4605426622019
14,20120433,Ho Duy,Bao,Male,8/8/2002,4512238022019
15,20120434,Tran Gia,Bao,Male,4/1/2002,4044875332019
16,20120435,Le Thi Ngoc,Bich,Male,26/2/2002,4324481612019
17,20120436,Pham Phuoc,Binh,Male,19/8/2002,3939675512019
18,20120437,Tran Khac,Binh,Female,23/9/2002,4075124122019
19,20120438,Dao Van,Canh,Male,16/4/2002,3926946742019
20,20120439,Hoang Van,Cau,Male,21/5/2002,4655126792019
21,20120440,Le Tran Bao,Chau,Female,26/1/2002,4593893042019
22,20120441,Nguyen Dinh,Chien,Male,5/7/2002,4202743752019
23,20120442,Nguyen Huu,Chinh,Male,6/8/2002,4434149672019
24,20120443,Nguyen Tan,Chu,Male,23/12/2002,4570802152019
25,20120444,Nguyen Chi,Cong,Female,20/8/2002,3786770472019
26,20120445,Vo Quang,Cong,Female,28/12/2002,4104343302019
27,20120446,Nguyen Dinh,Cuong,Female,14/12/2002,4192687752019
28,20120447,Trinh Quoc,Cuong,Male,4/3/2002,4106843872019
29,20120448,Nguyen Kong,Dai,Female,31/7/2002,4073430372019
30,20120449,Tran Trong,Dai,Male,8/1/2002,4334950522019
31,20120450,Pham Huu,Dan,Male,5/1/2002,4537550312019
32,20120451,Bui Van,Danh,Male,29/12/2002,3746689522019
33,20120452,Dinh Viet,Danh,Male,16/11/2002,3751439412019
34,20120454,Le Cong,Dat,Female,15/10/2002,4181316892019
35,20120455,Phan Duy,Dat,Male,7/1/2002,4244020062019
36,20120456,Le Phuoc,Don,Female,12/3/2002,4374287362019
37,20120457,Tran Han,Du,Male,21/1/2002,4602626862019
38,20120458,Ho Si,Duc,Male,3/11/2002,3979069722019
39,20120459,Nguyen Van,Dung,Female,25/5/2002,4135129562019
40,20120460,Le Nguyen Hai,Duong,Male,31/5/2002,4080520932019
41,20120461,Le Nguyen,Duy,Female,2/11/2002,4669602162019
42,20120462,Nguyen Hoang,Duy,Female,6/2/2002,4704591232019
43,20120463,Nguyen Le,Duy,Male,22/8/2002,4642785442019
44,20120464,Van Hoang,Gia,Male,17/9/2002,4008064482019
45,20120465,Ha Thi Huong,Giang,Male,6/12/2002,4139062102019
46,20120466,Tran Thi Thu,Ha,Male,9/6/2002,4107790042019
47,20120467,Nguyen Phuoc,Hai,Male,13/9/2002,4405546782019
48,20120468,Nguyen Van,Hai,Female,24/10/2002,4613756242019
49,20120469,Nguyen Gia,Hao,Male,20/9/2002,4002260702019
50,20120470,Nguyen Van,Hao,Male,22/5/2002,4512654082019
51,20120471,Truong Van,Hao,Male,17/9/2002,4035172952019
52,20120472,Thai Ngoc Vinh,Hien,Male,6/4/2002,4618370442019
53,20120473,Duong Minh,Hieu,Female,31/10/2002,4208474982019
54,20120474,Le Kim,Hieu,Male,10/2/2002,3759713542019
55,20120475,Nguyen Minh,Hieu,Female,30/12/2002,3801918082019
56,20120476,Nguyen Trong,Hieu,Male,23/9/2002,4264117022019
57,20120477,Nguyen Trung,Hieu,Male,23/10/2002,4226596002019
58,20120478,Nguyen Vu,Hieu,Female,19/7/2002,4537325822019
59,20120479,Tran Le,Hieu,Female,22/10/2002,4563531042019
60,20120480,Vo Minh,Hieu,Female,27/3/2002,3989078952019
61,20120481,Phan Xuan,Hoai,Male,24/12/2002,4237407122019
62,20120482,Nguyen Ta Huy,Hoang,Male,16/10/2002,4641255392019
63,20120483,Truong Huynh Duc,Hoang,Male,6/9/2002,4384051572019
64,20120484,Vu,Hoang,Female,18/1/2002,4441122682019
65,20120485,Le Van,Hung,Male,7/11/2002,4703052352019
66,20120486,Ngo Phi,Hung,Male,24/11/2002,4612051302019
67,20120487,Nguyen Lam,Hung,Male,20/1/2002,3860890832019
68,20120488,Thai Nguyen Viet,Hung,Female,24/3/2002,4393429162019
69,20120489,Vo Phi,Hung,Male,25/6/2002,4422424462019
70,20120490,Hoang Hai,Hung,Female,22/10/2002,4466708912019
71,20120491,Nguyen Minh,Hung,Male,2/9/2002,4613683882019
72,20120492,Do Dang,Huy,Female,5/12/2002,3895019022019
73,20120493,Huynh Tran Quang,Huy,Female,19/10/2002,3805679852019
74,20120494,Le Xuan,Huy,Female,5/5/2002,4395478062019
75,20120495,Le Xuan,Huy,Female,30/8/2002,4598299292019
76,20120496,Nguyen Canh,Huy,Male,8/5/2002,3892594872019
77,20120497,Nguyen Quang,Huy,Male,5/8/2002,3726110032019
78,20120498,Phung Quoc,Huy,Male,9/8/2002,4521375752019
79,20120500,Vo Duc,Huy,Female,31/8/2002,3879097222019
80,20120502,Nguyen Minh,Kha,Female,19/4/2002,4648102462019
81,20120503,Nguyen Le Tuan,Khai,Male,21/8/2002,4214640862019
82,20120504,Nhan Gia,Kham,Female,3/6/2002,3756155532019
83,20120505,Nguyen Duy,Khang,Male,9/4/2002,4477478122019
84,20120506,Tran Duy,Khang,Female,1/10/2002,4203240772019
85,20120507,Vo Nhat,Khanh,Female,24/6/2002,4272438662019
86,20120508,Huynh Tan,Khanh,Female,8/10/2002,4449924882019
87,20120509,Nguyen Dang,Khoa,Female,29/6/2002,4142010512019
88,20120510,Nguyen Huu Anh,Khoa,Male,15/1/2002,4714437472019
89,20120511,Nguyen Quoc,Khoa,Female,17/12/2002,4400453822019
90,20120512,Pham Truong Quang,Khoa,Male,3/10/2002,4621673882019
91,20120513,Tran Dac,Khoa,Male,23/10/2002,4640488802019
92,20120514,Luong Trong,Khoi,Female,27/10/2002,3918702842019
93,20120515,Luan Ma,Khuong,Male,15/9/2002,4139385482019
94,20120516,Nguyen Dang,Khuong,Male,27/12/2002,4709979082019
95,20120517,Tu Anh,Kiet,Male,7/7/2002,4128281752019
96,20120519,Nguyen Thi Thuy,Lieu,Male,17/5/2002,4323932192019
97,20120520,Pham Khanh,Linh,Male,17/10/2002,4698929512019
98,20120521,Tran Thi Phuong,Linh,Female,1/9/2002,3877165522019
99,20120522,Nguyen Dinh,Loc,Female,22/12/2002,4697202482019
100,20120523,Tran Xuan,Loc,Male,9/4/2002,4359295392019
101,20120524,Vo Duc,Loi,Female,24/9/2002,4231862942019
102,20120525,Ngo Gia,Long,Male,27/12/2002,3765644192019
103,20120526,Nguyen Thanh,Long,Female,11/5/2002,4383337412019
104,20120527,Tran Ngoc,Long,Male,24/6/2002,4490619592019
