No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
21,20120021,Nguyen,Hoa,Male,22/07/2001,546321987,2020
22,20120022,Tran,Hien,Female,12/06/2002,213659874,2020
23,20120023,Le,Tuan,Male,25/03/2001,456789012,2020
24,20120024,Pham,Quang,Male,30/04/2001,654321098,2020
25,20120025,Ngo,Thanh,Female,10/05/2002,321548765,2020
26,20120026,Truong,Bao,Male,15/01/2001,123456789,2020
27,20120027,Ngo,Thu,Female,20/02/2002,987654321,2020
28,20120028,Nguyen,Cuong,Male,25/03/2001,456789012,2020
29,20120029,Tran,An,Female,30/04/2001,654321098,2020
30,20120030,Pham,Thanh,Male,10/05/2002,321548765,2020
31,20120031,Vo,Minh,Male,12/06/2001,213659874,2020
32,20120032,Doan,Hoa,Female,22/07/2001,546321987,2020
33,20120033,Le,Quang,Male,02/08/2002,874236578,2020
34,20120034,Nguyen,An,Female,15/09/2001,998543123,2020
35,20120035,Tran,Quyen,Female,25/10/2002,113246578,2020
36,20120036,Pham,Tuan,Male,11/11/2001,657239845,2020
37,20120037,Dang,Phuong,Female,19/12/2002,876452134,2020
38,20120038,Luu,Tuan,Male,05/01/2001,762983452,2020
39,20120039,Tran,Hien,Female,16/02/2002,839264175,2020
40,20120040,Le,Thi,Female,20/03/2001,624518937,2020
41,20120041,Ngo,Tam,Female,18/04/2002,185793624,2020
42,20120042,Hoang,Quoc,Male,29/05/2001,937468215,2020
43,20120043,Bui,Hanh,Female,07/06/2002,362514879,2020
44,20120044,Doan,Trang,Female,09/07/2001,945871236,2020
45,20120045,Nguyen,Hoang,Male,14/08/2002,512487693,2020
