No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20120278,Vu Le,Duy,Female,19/10/2002,3957280662016
2,20120279,Truong Cao Hoang,Gia,Male,13/6/2002,4192163002016
3,20120281,Ngo Thanh,Hai,Female,21/11/2002,4084526722016
4,20120283,Huynh Phuc,Hau,Female,27/4/2002,4579322462016
5,20120284,Le Duc,Hau,Female,8/9/2002,4206028212016
6,20120288,Nguyen Trung,Hieu,Male,13/11/2002,4048618822016
7,20120289,Vo Minh,Hieu,Female,26/9/2002,4675747102016
8,20120290,Tran Khanh,Hoang,Male,5/1/2002,4683838822016
9,20120291,Ngo Phuc,Hoi,Female,9/11/2002,4507266122016
10,20120292,Pham Quoc,Hung,Male,8/9/2002,4352844642016
11,20120293,Vo Phi,Hung,Female,6/12/2002,4373399222016
12,20120294,Le Cong,Huu,Female,26/7/2002,4121732752016
13,20120295,Ngo Vo Quang,Huy,Male,13/4/2002,3794919552016
14,20120297,Nguyen Quang,Huy,Male,4/12/2002,3965160972016
15,20120298,Pham Bao,Huy,Male,27/5/2002,3956108372016
16,20120299,Cao Chanh,Khai,Female,8/12/2002,4363329742016
17,20120300,Tran Dinh,Khai,Male,21/7/2002,4236115532016
18,20120301,Nguyen Hoang,Khang,Female,3/5/2002,4216564272016
19,20120302,Nguyen Nhat,Khang,Male,17/12/2002,4248481062016
20,20120303,Pham Phuc An,Khang,Male,28/11/2002,4086258142016
21,20120304,Phan Tran,Khanh,Male,3/12/2002,4466198992016
22,20120305,Vo Thi Kieu,Khanh,Female,11/7/2002,4400731762016
23,20120306,Luong Huu,Khanh,Male,14/2/2002,4704979302016
24,20120307,Pham Gia,Khiem,Female,10/8/2002,4581835682016
25,20120308,Nguyen Hoang Dang,Khoa,Male,13/3/2002,4266081222016
26,20120310,Tra Nhu,Khuyen,Female,11/11/2002,4680163912016
27,20120311,Chau,Kiet,Female,19/3/2002,4627877782016
28,20120312,Le Tan,Kiet,Female,2/12/2002,4023711262016
29,20120313,Phan Tan,Kiet,Male,7/12/2002,4619010822016
30,20120314,Vo Tran Anh,Kiet,Male,10/10/2002,3923232032016
31,20120316,Nguyen Hoang,Lam,Female,28/6/2002,3863839222016
32,20120318,Nguyen Le My,Linh,Male,3/9/2002,3723687932016
33,20120319,Phan Duong,Linh,Female,21/1/2002,4239425862016
34,20120320,Phan Xuan,Loc,Female,23/10/2002,3856310712016
35,20120322,Dang Thien,Long,Female,3/3/2002,4558716202016
36,20120323,Nguyen Hoang,Long,Male,9/7/2002,3999073182016
37,20120324,Nguyen Thanh,Long,Male,22/5/2002,4086494782016
38,20120325,Ngo Thanh,Luc,Male,25/5/2002,4322105652016
39,20120326,Phan Phong,Luu,Male,18/4/2002,4145233792016
