No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,231221,Le,Anh,Male,31/09/2001,323456781,2024
2,231222,Le,Binh,Female,1/10/2002,323456782,2024
3,231223,Le,Chi,Male,2/11/2003,323456783,2024
4,231224,Le,Dung,Female,3/12/2004,323456784,2024
5,231225,Le,Em,Male,4/1/2005,323456785,2024
6,231226,Le,Fai,Female,5/2/2006,323456786,2024
7,231227,Le,Gia,Male,6/3/2007,323456787,2024
8,231228,Le,Hoa,Female,7/4/2008,323456788,2024
9,231229,Le,Khanh,Male,8/5/2009,323456789,2024
10,231230,Le,Lam,Female,9/6/2010,323456790,2024
