No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,231231,Pham,Minh,Male,10/7/2001,423456781,2024
2,231232,Pham,Ngoc,Female,11/8/2002,423456782,2024
3,231233,Pham,Phuong,Male,12/9/2003,423456783,2024
4,231234,Pham,Quynh,Female,13/10/2004,423456784,2024
5,231235,Pham,Son,Male,14/11/2005,423456785,2024
6,231236,Pham,Thuy,Female,15/12/2006,423456786,2024
7,231237,Pham,Uyen,Male,16/01/2007,423456787,2024
8,231238,Pham,Vinh,Female,17/02/2008,423456788,2024
9,231239,Pham,Xuan,Male,18/03/2009,423456789,2024
10,231240,Pham,Yen,Female,19/04/2010,423456790,2024
